Date,temp
20150126 02:00:00,27
20150126 02:30:00,28
20150126 03:00:00,28
20150126 03:30:00,29
20150126 04:00:00,30
20150126 04:30:00,29
20150126 05:00:00,30
20150126 05:30:00,31
20150126 06:00:00,31
20150126 06:30:00,30
20150126 07:00:00,30
20150126 07:30:00,31
20150126 08:00:00,30
20150126 08:30:00,30
20150126 09:00:00,30
20150126 09:30:00,29
20150126 10:00:00,29
20150126 10:30:00,29
20150126 11:00:00,28
20150126 11:30:00,27
20150126 12:00:00,27
20150126 12:30:00,26
20150126 13:00:00,26
20150126 13:30:00,25
20150126 14:00:00,25
20150126 14:30:00,24
20150126 15:00:00,24
20150126 15:30:00,24
20150126 16:00:00,24
20150126 16:30:00,24
20150126 17:00:00,23
